Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"performed";20.3592;20.3592;20.3592;434;434;434;7;7;20.3591995239258;20.3592;20.3592;20.3592;1;1;1;1;1;434;20.3592;20.3592;434;434;0
"PlayerLoop";16.1149;1.7349;46.146;486;433;455;1;1;2242.76849913597;16.13503;15.3701;17.3933;418;3;3;4;139;432;0.0001;45.1209;438;455;16.0341
"UpdateScene";15.001;0.5879;45.1205;486;433;455;2;2;2086.62519931793;15.01169;14.2758;16.3414;139;1;1;1;139;432;0.5879;45.1205;433;455;14.9201
"Update.ScriptRunBehaviourUpdate";13.9706;0.2269;33.2759;523;451;445;3;3;1686.36129455268;12.1321;12.9727;15.1996;139;1;1;1;139;432;0.2269;33.2759;451;445;13.8916
"BehaviourUpdate";13.9701;0.2267;33.2753;523;451;445;4;4;1686.30909368396;12.13172;12.9722;15.1994;139;1;1;1;139;432;0.2267;33.2753;451;445;13.8914
"Project.Internal.dll!::GearController.Update() [Invoke]";13.7268;0.0211;25.3293;523;433;529;5;5;1634.77359842137;11.76096;12.7731;14.8739;139;1;1;1;139;432;0.0211;25.3293;433;529;13.6887
"Loading.ReadObject";8.962999;1.4087;30.02914;540;500;444;6;6;256.08798456192;10.67033;1.5903;14.0638;13837;505;101;1616;24;442;0.0058;1.4928;444;465;0
"Loading.ReadObjectThreaded";6.016193;0.9161999;22.3595;540;500;444;7;7;188.093925893307;7.837247;1.0837;10.4506;13837;505;101;1616;24;442;0.0018;1.4746;442;465;0
"EditorLoop";5.5172;3.9245;720.9999;565;567;570;1;1;1649.94953203201;11.87014;4.9988;6.0586;556;4;4;4;139;432;0.0305;616.5869;461;570;5.68
"ReadObjectFromSerializedFile";5.507296;0.8134;20.84089;473;489;444;8;8;174.652543246746;7.277189;0.9744;9.778501;13837;505;101;1616;24;442;0.0011;1.4714;444;465;0
"IntegrateAllThreadedObjects";2.0121;0.4028;6.381379;465;476;444;7;7;56.5600129067898;2.356667;0.4341;3.031995;13837;505;101;1616;24;442;0.0032;0.4727;455;455;0
"GameObject.ActivateAwakeRecursively";1.3674;0.0011;1.4147;457;570;545;7;7;4.18960004672408;1.0474;0.0011;1.4064;49;16;1;16;4;457;0.0011;0.2143;457;545;0
"GameObject.Activate";1.3491;0.0011;1.3973;457;570;545;6;6;4.13679998740554;1.0342;0.0011;1.3893;25;8;1;8;4;457;0.0011;0.2144;570;545;0
